행정구역,2021년10월_계_총인구수,2021년10월_계_연령구간인구수,2021년10월_계_0세,2021년10월_계_1세,2021년10월_계_2세,2021년10월_계_3세,2021년10월_계_4세,2021년10월_계_5세,2021년10월_계_6세,2021년10월_계_7세,2021년10월_계_8세,2021년10월_계_9세,2021년10월_계_10세,2021년10월_계_11세,2021년10월_계_12세,2021년10월_계_13세,2021년10월_계_14세,2021년10월_계_15세,2021년10월_계_16세,2021년10월_계_17세,2021년10월_계_18세,2021년10월_계_19세,2021년10월_계_20세,2021년10월_계_21세,2021년10월_계_22세,2021년10월_계_23세,2021년10월_계_24세,2021년10월_계_25세,2021년10월_계_26세,2021년10월_계_27세,2021년10월_계_28세,2021년10월_계_29세,2021년10월_계_30세,2021년10월_계_31세,2021년10월_계_32세,2021년10월_계_33세,2021년10월_계_34세,2021년10월_계_35세,2021년10월_계_36세,2021년10월_계_37세,2021년10월_계_38세,2021년10월_계_39세,2021년10월_계_40세,2021년10월_계_41세,2021년10월_계_42세,2021년10월_계_43세,2021년10월_계_44세,2021년10월_계_45세,2021년10월_계_46세,2021년10월_계_47세,2021년10월_계_48세,2021년10월_계_49세,2021년10월_계_50세,2021년10월_계_51세,2021년10월_계_52세,2021년10월_계_53세,2021년10월_계_54세,2021년10월_계_55세,2021년10월_계_56세,2021년10월_계_57세,2021년10월_계_58세,2021년10월_계_59세,2021년10월_계_60세,2021년10월_계_61세,2021년10월_계_62세,2021년10월_계_63세,2021년10월_계_64세,2021년10월_계_65세,2021년10월_계_66세,2021년10월_계_67세,2021년10월_계_68세,2021년10월_계_69세,2021년10월_계_70세,2021년10월_계_71세,2021년10월_계_72세,2021년10월_계_73세,2021년10월_계_74세,2021년10월_계_75세,2021년10월_계_76세,2021년10월_계_77세,2021년10월_계_78세,2021년10월_계_79세,2021년10월_계_80세,2021년10월_계_81세,2021년10월_계_82세,2021년10월_계_83세,2021년10월_계_84세,2021년10월_계_85세,2021년10월_계_86세,2021년10월_계_87세,2021년10월_계_88세,2021년10월_계_89세,2021년10월_계_90세,2021년10월_계_91세,2021년10월_계_92세,2021년10월_계_93세,2021년10월_계_94세,2021년10월_계_95세,2021년10월_계_96세,2021년10월_계_97세,2021년10월_계_98세,2021년10월_계_99세,2021년10월_계_100세 이상,2021년10월_남_총인구수,2021년10월_남_연령구간인구수,2021년10월_남_0세,2021년10월_남_1세,2021년10월_남_2세,2021년10월_남_3세,2021년10월_남_4세,2021년10월_남_5세,2021년10월_남_6세,2021년10월_남_7세,2021년10월_남_8세,2021년10월_남_9세,2021년10월_남_10세,2021년10월_남_11세,2021년10월_남_12세,2021년10월_남_13세,2021년10월_남_14세,2021년10월_남_15세,2021년10월_남_16세,2021년10월_남_17세,2021년10월_남_18세,2021년10월_남_19세,2021년10월_남_20세,2021년10월_남_21세,2021년10월_남_22세,2021년10월_남_23세,2021년10월_남_24세,2021년10월_남_25세,2021년10월_남_26세,2021년10월_남_27세,2021년10월_남_28세,2021년10월_남_29세,2021년10월_남_30세,2021년10월_남_31세,2021년10월_남_32세,2021년10월_남_33세,2021년10월_남_34세,2021년10월_남_35세,2021년10월_남_36세,2021년10월_남_37세,2021년10월_남_38세,2021년10월_남_39세,2021년10월_남_40세,2021년10월_남_41세,2021년10월_남_42세,2021년10월_남_43세,2021년10월_남_44세,2021년10월_남_45세,2021년10월_남_46세,2021년10월_남_47세,2021년10월_남_48세,2021년10월_남_49세,2021년10월_남_50세,2021년10월_남_51세,2021년10월_남_52세,2021년10월_남_53세,2021년10월_남_54세,2021년10월_남_55세,2021년10월_남_56세,2021년10월_남_57세,2021년10월_남_58세,2021년10월_남_59세,2021년10월_남_60세,2021년10월_남_61세,2021년10월_남_62세,2021년10월_남_63세,2021년10월_남_64세,2021년10월_남_65세,2021년10월_남_66세,2021년10월_남_67세,2021년10월_남_68세,2021년10월_남_69세,2021년10월_남_70세,2021년10월_남_71세,2021년10월_남_72세,2021년10월_남_73세,2021년10월_남_74세,2021년10월_남_75세,2021년10월_남_76세,2021년10월_남_77세,2021년10월_남_78세,2021년10월_남_79세,2021년10월_남_80세,2021년10월_남_81세,2021년10월_남_82세,2021년10월_남_83세,2021년10월_남_84세,2021년10월_남_85세,2021년10월_남_86세,2021년10월_남_87세,2021년10월_남_88세,2021년10월_남_89세,2021년10월_남_90세,2021년10월_남_91세,2021년10월_남_92세,2021년10월_남_93세,2021년10월_남_94세,2021년10월_남_95세,2021년10월_남_96세,2021년10월_남_97세,2021년10월_남_98세,2021년10월_남_99세,2021년10월_남_100세 이상,2021년10월_여_총인구수,2021년10월_여_연령구간인구수,2021년10월_여_0세,2021년10월_여_1세,2021년10월_여_2세,2021년10월_여_3세,2021년10월_여_4세,2021년10월_여_5세,2021년10월_여_6세,2021년10월_여_7세,2021년10월_여_8세,2021년10월_여_9세,2021년10월_여_10세,2021년10월_여_11세,2021년10월_여_12세,2021년10월_여_13세,2021년10월_여_14세,2021년10월_여_15세,2021년10월_여_16세,2021년10월_여_17세,2021년10월_여_18세,2021년10월_여_19세,2021년10월_여_20세,2021년10월_여_21세,2021년10월_여_22세,2021년10월_여_23세,2021년10월_여_24세,2021년10월_여_25세,2021년10월_여_26세,2021년10월_여_27세,2021년10월_여_28세,2021년10월_여_29세,2021년10월_여_30세,2021년10월_여_31세,2021년10월_여_32세,2021년10월_여_33세,2021년10월_여_34세,2021년10월_여_35세,2021년10월_여_36세,2021년10월_여_37세,2021년10월_여_38세,2021년10월_여_39세,2021년10월_여_40세,2021년10월_여_41세,2021년10월_여_42세,2021년10월_여_43세,2021년10월_여_44세,2021년10월_여_45세,2021년10월_여_46세,2021년10월_여_47세,2021년10월_여_48세,2021년10월_여_49세,2021년10월_여_50세,2021년10월_여_51세,2021년10월_여_52세,2021년10월_여_53세,2021년10월_여_54세,2021년10월_여_55세,2021년10월_여_56세,2021년10월_여_57세,2021년10월_여_58세,2021년10월_여_59세,2021년10월_여_60세,2021년10월_여_61세,2021년10월_여_62세,2021년10월_여_63세,2021년10월_여_64세,2021년10월_여_65세,2021년10월_여_66세,2021년10월_여_67세,2021년10월_여_68세,2021년10월_여_69세,2021년10월_여_70세,2021년10월_여_71세,2021년10월_여_72세,2021년10월_여_73세,2021년10월_여_74세,2021년10월_여_75세,2021년10월_여_76세,2021년10월_여_77세,2021년10월_여_78세,2021년10월_여_79세,2021년10월_여_80세,2021년10월_여_81세,2021년10월_여_82세,2021년10월_여_83세,2021년10월_여_84세,2021년10월_여_85세,2021년10월_여_86세,2021년10월_여_87세,2021년10월_여_88세,2021년10월_여_89세,2021년10월_여_90세,2021년10월_여_91세,2021년10월_여_92세,2021년10월_여_93세,2021년10월_여_94세,2021년10월_여_95세,2021년10월_여_96세,2021년10월_여_97세,2021년10월_여_98세,2021년10월_여_99세,2021년10월_여_100세 이상,,,,,,,
경기도  (4100000000),13549577,13549577,74973,82468,91023,99202,108234,122969,129909,128264,128966,140824,137859,132961,128406,135428,137586,124981,121572,131796,133690,139722,156147,170516,165755,172650,180231,185750,189665,192246,194210,198295,188336,178394,175839,173924,175128,179047,184750,193082,215700,235258,237553,242200,228644,209392,216719,211243,221632,240821,241371,243200,256258,245264,247716,242279,219267,213060,219033,202013,210767,210126,227572,219207,193873,179083,170056,152750,155144,126953,110821,119883,79693,89059,89586,88073,89176,68566,65854,64704,64497,73393,58478,51687,49795,44077,39107,34292,30948,24968,20124,16902,12443,11261,8924,6878,4930,3309,2615,1721,1580,1047,2234,6820025,6820025,38364,41856,46803,50839,55753,62788,66600,65407,65790,72195,70631,68366,65841,69234,70455,64178,62057,67675,69052,72619,80945,88967,86619,89681,93689,98220,101087,103119,103916,105565,99242,93388,92146,90086,90040,92361,94935,99105,110548,120363,121755,123153,116183,106783,109950,107848,112263,122548,121732,124354,130247,124539,124397,120637,109241,109549,111046,102855,108305,107226,114681,110156,97740,90502,84989,75721,75699,62154,53786,58088,37925,41906,42265,41337,41020,31302,29505,28138,27551,31102,24225,20730,19348,16643,14219,11890,10121,7929,5972,4824,3302,2753,2187,1503,991,674,480,388,384,236,523,6729552,6729552,36609,40612,44220,48363,52481,60181,63309,62857,63176,68629,67228,64595,62565,66194,67131,60803,59515,64121,64638,67103,75202,81549,79136,82969,86542,87530,88578,89127,90294,92730,89094,85006,83693,83838,85088,86686,89815,93977,105152,114895,115798,119047,112461,102609,106769,103395,109369,118273,119639,118846,126011,120725,123319,121642,110026,103511,107987,99158,102462,102900,112891,109051,96133,88581,85067,77029,79445,64799,57035,61795,41768,47153,47321,46736,48156,37264,36349,36566,36946,42291,34253,30957,30447,27434,24888,22402,20827,17039,14152,12078,9141,8508,6737,5375,3939,2635,2135,1333,1196,811,1711,,,,,,,
경기도 수원시 (4111000000),1185276,1185276,6406,6922,7605,8213,8793,10145,10917,10596,10779,11751,11492,11077,10888,11839,12052,10909,10746,11971,12238,12600,14793,16479,16275,17710,18703,19579,20119,20313,20597,20706,19426,17931,17434,16748,16551,16372,16765,17095,18712,20415,20698,20946,20020,18327,18927,18632,19261,20774,21144,20876,22273,21327,21844,21457,19449,18589,18948,17399,18166,17581,19319,17955,15719,14042,12808,11638,11833,9490,8438,9180,5949,6710,6627,6514,6611,4984,4814,4758,4642,5210,4247,3609,3533,3162,2820,2465,2209,1791,1449,1244,870,828,712,479,364,244,204,131,100,76,198,596863,596863,3326,3585,3875,4214,4565,5228,5619,5408,5590,6036,5959,5732,5626,6077,6244,5672,5438,6242,6339,6508,7690,8410,8383,9214,9690,10336,10629,10772,11095,11130,10501,9501,9325,8888,8656,8599,8647,8873,9713,10284,10457,10649,10065,9371,9498,9411,9667,10303,10443,10657,11211,10781,10638,10308,9531,9346,9545,8777,9302,8932,9724,9079,7928,7054,6420,5744,5624,4580,3950,4443,2788,3117,3112,3016,2958,2269,2109,2016,1924,2176,1677,1413,1315,1191,984,766,694,568,420,347,220,181,166,112,73,51,30,25,31,16,41,588413,588413,3080,3337,3730,3999,4228,4917,5298,5188,5189,5715,5533,5345,5262,5762,5808,5237,5308,5729,5899,6092,7103,8069,7892,8496,9013,9243,9490,9541,9502,9576,8925,8430,8109,7860,7895,7773,8118,8222,8999,10131,10241,10297,9955,8956,9429,9221,9594,10471,10701,10219,11062,10546,11206,11149,9918,9243,9403,8622,8864,8649,9595,8876,7791,6988,6388,5894,6209,4910,4488,4737,3161,3593,3515,3498,3653,2715,2705,2742,2718,3034,2570,2196,2218,1971,1836,1699,1515,1223,1029,897,650,647,546,367,291,193,174,106,69,60,157,,,,,,,
경기도 수원시 장안구 (4111100000),273854,273854,1015,1259,1364,1454,1632,1923,2148,2172,2251,2422,2501,2467,2517,2869,2894,2656,2671,2964,3057,3330,3877,4264,4188,4715,4804,4612,4460,4352,4264,4172,3816,3391,3179,2971,2939,2969,3132,3144,3479,3939,4070,4233,4225,3876,4162,4209,4392,5002,5069,5022,5367,5253,5474,5467,4897,4738,4659,4287,4567,4409,4811,4483,3977,3593,3256,2992,3058,2473,2196,2369,1573,1815,1809,1756,1799,1377,1370,1351,1379,1537,1242,1067,1026,936,842,761,692,527,415,414,281,261,234,149,129,67,63,38,31,30,64,137955,137955,496,662,676,749,850,943,1121,1121,1186,1239,1304,1286,1286,1467,1493,1361,1369,1580,1580,1799,2094,2210,2259,2568,2699,2601,2474,2421,2329,2284,2099,1819,1736,1620,1550,1571,1640,1579,1799,1961,2019,2106,2048,1976,2019,2099,2160,2461,2472,2555,2674,2654,2637,2629,2376,2416,2392,2172,2368,2235,2401,2280,1998,1803,1625,1498,1429,1228,1033,1133,721,813,844,819,792,620,565,569,585,629,510,432,404,376,301,244,220,171,119,117,78,58,63,41,26,15,11,6,9,6,14,135899,135899,519,597,688,705,782,980,1027,1051,1065,1183,1197,1181,1231,1402,1401,1295,1302,1384,1477,1531,1783,2054,1929,2147,2105,2011,1986,1931,1935,1888,1717,1572,1443,1351,1389,1398,1492,1565,1680,1978,2051,2127,2177,1900,2143,2110,2232,2541,2597,2467,2693,2599,2837,2838,2521,2322,2267,2115,2199,2174,2410,2203,1979,1790,1631,1494,1629,1245,1163,1236,852,1002,965,937,1007,757,805,782,794,908,732,635,622,560,541,517,472,356,296,297,203,203,171,108,103,52,52,32,22,24,50,,,,,,,
경기도 수원시 권선구 (4111300000),364416,364416,2073,2316,2511,2739,3018,3438,3541,3464,3396,3706,3510,3197,3203,3211,3364,3049,2916,3280,3413,3495,4061,4523,4535,4832,5345,5577,5871,5961,6139,6241,5964,5528,5351,5191,5268,5248,5427,5720,6246,6661,6796,6712,6300,5622,5619,5478,5676,6036,6160,6176,6586,6171,6543,6579,6208,5938,6244,5585,5850,5741,6489,5972,5272,4559,4226,3848,3906,3084,2751,2995,1934,2086,2108,2022,2106,1535,1467,1475,1343,1520,1263,1062,1107,936,846,702,655,543,459,362,240,254,208,146,107,74,61,42,26,20,56,184052,184052,1075,1176,1299,1398,1579,1813,1833,1739,1724,1906,1803,1610,1650,1682,1741,1594,1483,1753,1809,1806,2122,2326,2308,2579,2656,2895,3071,3132,3311,3344,3249,2931,2861,2687,2741,2761,2809,3052,3269,3458,3515,3541,3260,2925,2962,2858,2892,3067,3125,3177,3353,3035,3108,3102,3005,2938,3067,2785,3018,2906,3242,3012,2600,2270,2129,1897,1914,1458,1303,1486,898,1001,1016,942,967,687,677,664,559,649,490,400,403,333,285,224,194,169,132,103,62,55,44,33,19,17,10,11,9,4,10,180364,180364,998,1140,1212,1341,1439,1625,1708,1725,1672,1800,1707,1587,1553,1529,1623,1455,1433,1527,1604,1689,1939,2197,2227,2253,2689,2682,2800,2829,2828,2897,2715,2597,2490,2504,2527,2487,2618,2668,2977,3203,3281,3171,3040,2697,2657,2620,2784,2969,3035,2999,3233,3136,3435,3477,3203,3000,3177,2800,2832,2835,3247,2960,2672,2289,2097,1951,1992,1626,1448,1509,1036,1085,1092,1080,1139,848,790,811,784,871,773,662,704,603,561,478,461,374,327,259,178,199,164,113,88,57,51,31,17,16,46,,,,,,,
경기도 수원시 팔달구 (4111500000),182600,182600,819,846,926,965,1027,1123,1051,1031,1129,1194,1189,1218,1186,1336,1393,1244,1335,1543,1627,1715,2080,2399,2527,2731,2974,3380,3600,3556,3633,3568,3242,2964,2864,2703,2543,2419,2372,2460,2632,2744,2720,2848,2609,2436,2602,2512,2776,3032,3068,3009,3337,3342,3362,3343,2989,2899,2966,2906,3015,2971,3358,3150,2812,2583,2456,2225,2306,1970,1684,1929,1224,1405,1357,1403,1405,1061,1024,1017,995,1119,904,755,712,662,545,520,398,338,286,230,160,132,120,85,61,49,30,19,22,15,44,92088,92088,441,429,472,492,508,550,520,529,570,617,624,620,642,702,715,640,652,775,851,854,1024,1196,1253,1331,1449,1718,1848,1894,1986,1927,1754,1618,1569,1490,1395,1343,1287,1350,1432,1435,1413,1537,1382,1282,1317,1261,1421,1559,1572,1571,1698,1760,1700,1607,1525,1521,1542,1503,1481,1490,1703,1575,1431,1285,1216,1053,1071,928,780,919,578,653,625,639,594,493,474,427,402,477,362,297,272,260,195,156,141,109,88,60,47,34,30,15,14,12,2,5,8,4,10,90512,90512,378,417,454,473,519,573,531,502,559,577,565,598,544,634,678,604,683,768,776,861,1056,1203,1274,1400,1525,1662,1752,1662,1647,1641,1488,1346,1295,1213,1148,1076,1085,1110,1200,1309,1307,1311,1227,1154,1285,1251,1355,1473,1496,1438,1639,1582,1662,1736,1464,1378,1424,1403,1534,1481,1655,1575,1381,1298,1240,1172,1235,1042,904,1010,646,752,732,764,811,568,550,590,593,642,542,458,440,402,350,364,257,229,198,170,113,98,90,70,47,37,28,14,14,11,34,,,,,,,
경기도 수원시 영통구 (4111700000),364406,364406,2499,2501,2804,3055,3116,3661,4177,3929,4003,4429,4292,4195,3982,4423,4401,3960,3824,4184,4141,4060,4775,5293,5025,5432,5580,6010,6188,6444,6561,6725,6404,6048,6040,5883,5801,5736,5834,5771,6355,7071,7112,7153,6886,6393,6544,6433,6417,6704,6847,6669,6983,6561,6465,6068,5355,5014,5079,4621,4734,4460,4661,4350,3658,3307,2870,2573,2563,1963,1807,1887,1218,1404,1353,1333,1301,1011,953,915,925,1034,838,725,688,628,587,482,464,383,289,238,189,181,150,99,67,54,50,32,21,11,34,182768,182768,1314,1318,1428,1575,1628,1922,2145,2019,2110,2274,2228,2216,2048,2226,2295,2077,1934,2134,2099,2049,2450,2678,2563,2736,2886,3122,3236,3325,3469,3575,3399,3133,3159,3091,2970,2924,2911,2892,3213,3430,3510,3465,3375,3188,3200,3193,3194,3216,3274,3354,3486,3332,3193,2970,2625,2471,2544,2317,2435,2301,2378,2212,1899,1696,1450,1296,1210,966,834,905,591,650,627,616,605,469,393,356,378,421,315,284,236,222,203,142,139,119,81,67,33,34,29,23,14,7,7,3,5,2,7,181638,181638,1185,1183,1376,1480,1488,1739,2032,1910,1893,2155,2064,1979,1934,2197,2106,1883,1890,2050,2042,2011,2325,2615,2462,2696,2694,2888,2952,3119,3092,3150,3005,2915,2881,2792,2831,2812,2923,2879,3142,3641,3602,3688,3511,3205,3344,3240,3223,3488,3573,3315,3497,3229,3272,3098,2730,2543,2535,2304,2299,2159,2283,2138,1759,1611,1420,1277,1353,997,973,982,627,754,726,717,696,542,560,559,547,613,523,441,452,406,384,340,325,264,208,171,156,147,121,76,53,47,43,29,16,9,27,,,,,,,
경기도 성남시 (4113000000),931319,931319,4782,5036,5500,5760,6277,7072,7687,7681,7825,8442,8504,8339,8134,8586,8901,8110,8083,8978,9040,8982,10332,11404,11136,11884,12598,13356,13809,14269,14629,14970,14363,13367,13320,12880,12891,12725,12884,13314,14269,15317,15409,15859,15180,13727,14452,14206,14880,16101,16455,16908,17997,17156,16978,16240,15040,14233,14669,13870,14580,14267,15899,15426,13767,12938,12557,11184,11476,9429,8285,8807,5990,6711,6891,6604,6814,5084,4884,4722,4672,5266,4105,3634,3436,3047,2690,2389,2181,1778,1407,1226,957,887,707,515,379,225,200,136,116,82,173,461315,461315,2420,2523,2767,2942,3230,3588,3951,3901,4003,4443,4378,4282,4152,4355,4583,4122,4091,4628,4674,4613,5228,5697,5643,6048,6284,6771,7096,7465,7818,7789,7425,6954,6882,6612,6545,6475,6539,6740,7188,7725,7650,7761,7455,6678,7160,7099,7314,7873,8027,8369,9154,8732,8430,8037,7516,7248,7278,6901,7281,7082,7707,7523,6744,6605,6264,5441,5560,4552,3967,4236,2791,3206,3180,3041,3122,2258,2175,2081,2055,2324,1774,1487,1393,1168,1001,889,739,575,413,343,265,231,183,137,83,49,25,30,27,18,38,470004,470004,2362,2513,2733,2818,3047,3484,3736,3780,3822,3999,4126,4057,3982,4231,4318,3988,3992,4350,4366,4369,5104,5707,5493,5836,6314,6585,6713,6804,6811,7181,6938,6413,6438,6268,6346,6250,6345,6574,7081,7592,7759,8098,7725,7049,7292,7107,7566,8228,8428,8539,8843,8424,8548,8203,7524,6985,7391,6969,7299,7185,8192,7903,7023,6333,6293,5743,5916,4877,4318,4571,3199,3505,3711,3563,3692,2826,2709,2641,2617,2942,2331,2147,2043,1879,1689,1500,1442,1203,994,883,692,656,524,378,296,176,175,106,89,64,135,,,,,,,
경기도 성남시 수정구 (4113100000),235980,235980,1171,1311,1397,1452,1491,1614,1675,1636,1565,1664,1691,1696,1449,1606,1712,1535,1563,1804,1861,1992,2360,2723,2982,3170,3464,3612,3734,3871,3988,3941,3794,3493,3450,3247,3325,3343,3372,3443,3626,3916,3890,3880,3647,3267,3447,3263,3486,3610,3882,3935,4204,4161,4118,4103,3894,3864,3924,3790,3989,3950,4509,4440,3918,3680,3570,3244,3315,2848,2477,2619,1835,1987,2067,1960,1952,1503,1366,1325,1364,1520,1096,978,943,760,608,598,522,411,346,250,181,201,163,97,79,45,39,25,27,13,56,119485,119485,612,661,695,727,753,818,831,843,777,861,872,858,746,814,874,774,802,972,942,994,1157,1367,1501,1631,1784,1934,2035,2124,2183,2092,2049,1898,1856,1751,1784,1761,1799,1859,1937,2078,2056,2018,1943,1707,1852,1763,1818,1909,1977,2090,2222,2135,2080,2071,1964,2006,1972,1933,2056,2032,2240,2159,1945,1848,1713,1569,1608,1354,1175,1228,847,942,961,908,895,669,597,581,598,660,449,398,363,287,219,209,160,123,95,62,47,48,31,19,24,15,7,3,5,1,13,116495,116495,559,650,702,725,738,796,844,793,788,803,819,838,703,792,838,761,761,832,919,998,1203,1356,1481,1539,1680,1678,1699,1747,1805,1849,1745,1595,1594,1496,1541,1582,1573,1584,1689,1838,1834,1862,1704,1560,1595,1500,1668,1701,1905,1845,1982,2026,2038,2032,1930,1858,1952,1857,1933,1918,2269,2281,1973,1832,1857,1675,1707,1494,1302,1391,988,1045,1106,1052,1057,834,769,744,766,860,647,580,580,473,389,389,362,288,251,188,134,153,132,78,55,30,32,22,22,12,43,,,,,,,
경기도 성남시 중원구 (4113300000),212478,212478,1014,1058,1080,1136,1237,1353,1394,1317,1370,1502,1510,1448,1416,1541,1662,1441,1510,1628,1767,1874,2232,2501,2464,2584,2916,3218,3446,3506,3652,3718,3480,3163,3151,2974,2968,2803,2837,2975,3236,3299,3216,3295,3213,2837,2917,2861,3028,3406,3442,3603,3809,3707,3838,3836,3675,3583,3719,3417,3684,3777,4278,4276,3648,3480,3378,2985,3080,2500,2131,2400,1664,1843,1858,1734,1788,1242,1268,1218,1201,1402,1017,870,798,744,636,544,470,383,258,244,201,169,136,96,84,49,45,31,22,24,39,107644,107644,496,507,535,573,661,696,713,672,710,797,783,748,700,830,831,745,739,844,953,972,1167,1200,1241,1332,1430,1648,1787,1837,1996,2038,1869,1737,1723,1626,1577,1534,1520,1571,1758,1791,1696,1740,1665,1497,1555,1522,1565,1771,1792,1914,2026,1943,1912,1959,1850,1822,1861,1678,1895,1891,2050,2147,1808,1799,1732,1462,1467,1221,1026,1173,784,881,873,815,835,569,587,505,531,594,442,343,315,261,211,217,151,121,57,59,44,31,27,20,11,8,2,7,5,6,6,104834,104834,518,551,545,563,576,657,681,645,660,705,727,700,716,711,831,696,771,784,814,902,1065,1301,1223,1252,1486,1570,1659,1669,1656,1680,1611,1426,1428,1348,1391,1269,1317,1404,1478,1508,1520,1555,1548,1340,1362,1339,1463,1635,1650,1689,1783,1764,1926,1877,1825,1761,1858,1739,1789,1886,2228,2129,1840,1681,1646,1523,1613,1279,1105,1227,880,962,985,919,953,673,681,713,670,808,575,527,483,483,425,327,319,262,201,185,157,138,109,76,73,41,43,24,17,18,33,,,,,,,
경기도 성남시 분당구 (4113500000),482861,482861,2597,2667,3023,3172,3549,4105,4618,4728,4890,5276,5303,5195,5269,5439,5527,5134,5010,5546,5412,5116,5740,6180,5690,6130,6218,6526,6629,6892,6989,7311,7089,6711,6719,6659,6598,6579,6675,6896,7407,8102,8303,8684,8320,7623,8088,8082,8366,9085,9131,9370,9984,9288,9022,8301,7471,6786,7026,6663,6907,6540,7112,6710,6201,5778,5609,4955,5081,4081,3677,3788,2491,2881,2966,2910,3074,2339,2250,2179,2107,2344,1992,1786,1695,1543,1446,1247,1189,984,803,732,575,517,408,322,216,131,116,80,67,45,78,234186,234186,1312,1355,1537,1642,1816,2074,2407,2386,2516,2785,2723,2676,2706,2711,2878,2603,2550,2812,2779,2647,2904,3130,2901,3085,3070,3189,3274,3504,3639,3659,3507,3319,3303,3235,3184,3180,3220,3310,3493,3856,3898,4003,3847,3474,3753,3814,3931,4193,4258,4365,4906,4654,4438,4007,3702,3420,3445,3290,3330,3159,3417,3217,2991,2958,2819,2410,2485,1977,1766,1835,1160,1383,1346,1318,1392,1020,991,995,926,1070,883,746,715,620,571,463,428,331,261,222,174,152,125,98,48,26,16,20,17,11,19,248675,248675,1285,1312,1486,1530,1733,2031,2211,2342,2374,2491,2580,2519,2563,2728,2649,2531,2460,2734,2633,2469,2836,3050,2789,3045,3148,3337,3355,3388,3350,3652,3582,3392,3416,3424,3414,3399,3455,3586,3914,4246,4405,4681,4473,4149,4335,4268,4435,4892,4873,5005,5078,4634,4584,4294,3769,3366,3581,3373,3577,3381,3695,3493,3210,2820,2790,2545,2596,2104,1911,1953,1331,1498,1620,1592,1682,1319,1259,1184,1181,1274,1109,1040,980,923,875,784,761,653,542,510,401,365,283,224,168,105,100,60,50,34,59,,,,,,,
